Social.Progress.Index,Basic.Human.Needs,Foundations.of.Wellbeing,Opportunity,Nutrition.and.Basic.Medical.Care,Water.and.Sanitation,Shelter,Personal.Safety,Access.to.Basic.Knowledge,Access.to.Information.and.Communications,Health.and.Wellness,Ecosystem.Sustainability,Personal.Rights,Personal.Freedom.and.Choice,Tolerance.and.Inclusion,Access.to.Advanced.Education,t1
84.66,93.68,76.34,83.97,99.23,99.44,87.65,88.41,98.4,89.87,76.95,40.15,86.75,85.97,85.74,77.41,Ireland
72.6,86.96,72.99,57.85,99.21,100,81.42,67.2,98.59,79.88,76.83,36.68,47.78,67.5,39.65,76.47,Israel
77.38,88.39,77,66.76,99.4,99.93,83.62,70.62,98.27,79.49,76.55,53.7,79.79,63.44,64.21,59.6,Italy
69.83,70.52,72.84,66.14,93.25,80.2,67.8,40.82,90.64,78.98,73.45,48.28,82.65,72.78,63.37,45.76,Jamaica
83.15,95.01,78.78,75.66,99.22,99.55,91,90.27,99.97,86.07,75.63,53.46,95.36,78.91,60.31,68.05,Japan
63.31,82.63,64.93,42.38,96.63,92.34,75.55,65.99,93.62,69.1,67.09,29.9,27.59,61.72,36.71,43.48,Jordan
61.38,77.17,58.21,48.75,96.99,81.84,69.75,60.11,92.27,66.02,40.59,33.94,29.25,58.71,43.01,64.02,Kazakhstan
51.67,46.48,68.17,40.36,67.13,34.36,45.97,38.48,76.04,61.59,72.2,62.86,32.16,59.04,37.97,32.27,Kenya
77.7,89.11,75.6,68.4,98.81,92.54,82.24,82.84,98.27,85.81,72.97,45.34,67.79,72.04,60.49,73.26,Kore Republic of
69.19,86.28,73.96,47.35,97.54,99.29,68.74,79.53,95.36,81.32,69.48,49.67,35.63,63.28,53.2,37.28,Kuwait
58.58,67.87,61.16,46.7,94.15,76.34,51.28,49.71,92.14,67.11,54.68,30.7,39.61,55.74,41.09,50.36,Kyrgyzstan
52.41,60.43,61.7,35.09,74.73,51.44,47.23,68.32,72.24,37.04,65.05,72.49,13.72,56.83,52.88,16.94,Laos
74.12,83.84,77.76,60.75,98.67,86.11,75.53,75.07,97.54,85.04,57.18,71.29,67.12,68.02,51.27,56.58,Latvia
61.85,75.69,65.89,43.97,97.52,98.88,57.71,48.66,88.5,72.96,73.69,28.41,39.61,56.43,32.86,46.97,Lebanon
52.27,48.62,55.82,52.35,64.8,44.79,34.19,50.71,73.12,58.67,60.61,30.9,61.95,62.65,55.34,29.46,Lesotho
44.89,41.15,53.23,40.3,59.78,29.32,22.2,53.29,43.79,48.61,72.03,48.49,60.84,48.1,43.01,9.26,Liberia
74,83.75,74.79,63.47,99.05,90.69,73.53,71.75,97.22,83.96,51.38,66.6,72.87,63.32,52.29,65.39,Lithuania
67.79,83.53,67.04,52.8,99.05,93.78,68.07,73.22,89.53,75.24,59.78,43.62,64.85,52.05,46.9,47.42,Macedonia
44.5,41.93,53.53,38.04,66.66,16.35,29.35,55.37,63.14,40.57,70.93,39.49,45.88,39.92,45.02,21.35,Madagascar
48.95,46.42,57.31,43.12,65.36,37.82,29.69,52.81,64.9,40.58,66.16,57.6,61.36,57.94,35.58,17.6,Malawi
69.55,86.13,74.87,47.66,96.77,97.06,83.78,66.93,88.29,74.31,73.95,62.91,33.31,63.19,39.02,55.11,Malaysia
46.51,48.48,52.45,38.6,71.91,29.69,34.08,58.22,48.2,59.45,63.69,38.45,60.78,35.61,49.43,8.57,Mali
45.85,47.73,59.08,30.73,77.14,30.76,36.18,46.83,49.08,64.34,68.67,54.23,27.56,38.73,48.03,8.61,Mauritania
73.66,88.02,72.09,60.88,95.71,96.87,82.17,77.33,95.77,72.7,70.65,49.23,72.34,70.8,63.81,36.57,Mauritius
67.5,72.81,68.82,60.88,96.27,88.47,71.48,35.03,92.46,62.3,72.02,48.5,71.76,63.08,54.1,54.57,Mexico
63.68,77.65,64.85,48.54,97.65,80.36,66.49,66.09,91.94,76.26,47.27,43.92,48.16,53.34,41.65,51.01,Moldova
61.52,58.36,64.49,61.71,82.99,46.66,34.42,69.38,97.66,65.95,58.42,35.92,73.99,64.48,55.93,52.43,Mongolia
69.01,81.89,72.09,53.04,99.15,92.02,67.58,68.8,96.41,74.7,56.86,60.4,61.36,47.52,51.44,51.84,Montenegro
59.56,76.64,64.14,37.89,92.65,64.3,80.44,69.17,77.98,72.54,68.72,37.3,41.29,53.75,38.68,17.85,Morocco
46.02,43.13,53.49,41.43,57.23,18.93,38.66,57.7,57.11,45.49,63.32,48.05,45.36,39.21,62.14,19.02,Mozambique
46.12,58.87,49.19,30.28,80.09,58.38,41.07,55.92,78.02,27.69,62.37,28.7,5.75,56.11,30.19,29.08,Myanmar
62.71,59.73,71.93,56.47,68.2,57.8,57.41,55.51,79.31,71.93,72.38,64.11,70.56,72.04,56.32,26.97,Namibia
55.33,62.54,62.71,40.74,84.59,52.15,46.47,66.94,81.82,52.82,62.74,53.45,50.96,49.74,52.87,9.39,Nepal
86.5,94.8,83.81,80.88,99.21,100,91.19,88.79,98.94,95.83,75.6,64.89,87.91,89,74.46,72.14,Netherlands
87.08,92.87,82.77,85.61,99.05,100,86.14,86.3,99.46,92.01,77.75,61.86,98.84,88.82,82.98,71.79,New Zealand
